,0,1,2,3,4,5,6,7
0,0.2241196545174115,0.2461687578287485,0.24870429608179662,0.2554010502908777,0.2630776816761679,0.26596614283987347,0.3836471909966194,0.4733680079846117
1,0.1833177656597701,0.20822470989907127,0.24795058391777114,0.245086169516618,0.24785134472148304,0.23303257298201077,0.17788102427394986,0.23143142110010517
2,0.22387118118186597,0.2415809822338478,0.22821253302151656,0.2591810541894264,0.2425378053357924,0.2678867230455337,0.3242311966280957,0.4672522974424611
3,0.2919907898874538,0.29080147029877385,0.2699475834408709,0.2920726990180619,0.32048873708956405,0.2838890508551197,0.295187310377708,0.38058971600911706
4,0.2629136510488006,0.28623589437478564,0.2637957558367886,0.22979254212451758,0.23698927539577783,0.23958829631176445,0.3576057769005969,0.3902583764630466
5,0.34782911591195914,0.3374020416061936,0.30894377724185457,0.31880251527852227,0.34129754799720724,0.3382148607026952,0.40750717504969947,0.4445990173699658
6,0.23007130973845633,0.2517184977619497,0.26760711090573824,0.25363583814911855,0.22240513368204742,0.1994010543604058,0.24015711657813693,0.2728423365691465
7,0.3623757922856356,0.37942529264759395,0.38072565010081794,0.41612736899935915,0.4210995816539924,0.3633690287743738,0.29799468224292386,0.2817534079421059
8,0.25631844243118374,0.252108095813029,0.22316483654703326,0.19637316741037542,0.21213579803907912,0.24052707816836014,0.25840864392660784,0.2521425830882196
9,0.24234850313644313,0.25408044397208285,0.25192008262682947,0.2005895936269491,0.21669887989547873,0.24797320338223816,0.18383688236928755,0.1107849660904842
10,0.2351242363467542,0.2342022264773485,0.2865539497266796,0.2648942222227754,0.26249261292986176,0.2590680507032977,0.2335873425111761,0.23285632389283314
11,0.24027320184283046,0.26258089798375084,0.2550599606197099,0.26142510755320764,0.26839629809449433,0.22129983206924358,0.3245812945750686,0.32730525099162766
12,0.3043376690154906,0.31485029724766694,0.37815806925269074,0.3527167525122261,0.30457175577898554,0.25051987357260247,0.4234440397585191,0.44906018816757143
13,0.1668642832477693,0.18619952988159413,0.18559899297749094,0.19842920758795718,0.24338168421658077,0.25144204148193466,0.17437721490178812,0.17623791279158324
14,0.2749719986586954,0.2669520897370062,0.3244747460321841,0.35826605289688196,0.29359637182604653,0.30656841739296753,0.44281051409405253,0.4595591755785999
15,0.28840216740103625,0.26345528844783106,0.2653781997424058,0.2561156130018835,0.28159087375529174,0.28173844353657423,0.3134713890122712,0.33172940587522015
16,0.20901692947891534,0.28670439879787124,0.24266232598155796,0.22632555111646097,0.24567307053832088,0.24217626431039804,0.3148559916237654,0.4422427605971833
17,0.12793086093005543,0.12538274368661487,0.13783569229900922,0.15866579414798798,0.1835681700456665,0.2009547399381646,0.3994213782949416,0.5558364962184823
18,0.19799308159479415,0.1751241609814643,0.2304194766350785,0.24059672932717624,0.21041502474912657,0.2706987620273261,0.3732859452589501,0.5246331820461567
19,0.3317995756025448,0.30984704950248565,0.2837423700484233,0.33031425217045246,0.3157822586936887,0.31003763083748925,0.481389773875436,0.5063067487113165
20,0.23800705252183843,0.2844443932790183,0.325296770954399,0.35584585909637245,0.36783239237595844,0.3281634522407466,0.4880280088630172,0.5272689324287898
21,0.19046135306702824,0.22229975068362023,0.2344724352415227,0.23133006318105365,0.212587016845214,0.22683095786236263,0.1924776313868756,0.18915919297089379
22,0.2614038116731243,0.2649369769616161,0.23683576923975963,0.2881940732666876,0.2691661649022472,0.2676652844148991,0.25403172816476793,0.2685869337557227
23,0.250968134068865,0.2734799437134876,0.27697806364829863,0.2924704608190896,0.27751368071388255,0.24490052199056683,0.26594577544435777,0.31149654184688097
24,0.24456377841737523,0.32770766509298904,0.3287094159827625,0.2971584831148093,0.33075660098571774,0.3674156904775003,0.4206961896805865,0.5430947395180746
25,0.15186238768232072,0.1685828094075182,0.19202378516696417,0.18542352914919766,0.18564246383474822,0.20920846893097286,0.20055438035584655,0.21153147805423753
26,0.21109654229927025,0.21194011003895347,0.21337027753672985,0.2352470481858155,0.21615569172967042,0.22575478992224238,0.2320044244857797,0.269225508894613
27,0.25849790685254165,0.32280655558899585,0.28148597969288686,0.31890367564766575,0.35125701179322083,0.34069156365439063,0.47540168551260686,0.47139233604835556
28,0.26382762557569805,0.24800758694372704,0.23276633003223982,0.24259832475011084,0.28392288127686616,0.21658764448102674,0.22254221356321463,0.22095744350743066
29,0.0925273443273512,0.13040362276108602,0.188008617857922,0.19766755391762972,0.3102644724581079,0.25564934583150606,0.3931803371524027,0.6731275759180717
30,0.2828747456686923,0.30114292647440843,0.27412097340998487,0.3443939057453534,0.32325566061111505,0.2823228998781655,0.49809020354994316,0.5473550415692172
31,0.2491205139829801,0.23959538835346192,0.2530138818962395,0.27154322861909075,0.2757278986879521,0.27132584963906575,0.27885373088237314,0.30867666013374057
32,0.2516617959996035,0.31162718160104713,0.28555471265948557,0.3062750804733132,0.30684917038348175,0.30027781591725694,0.32347670908068127,0.35701179865343957
33,0.199456338702162,0.26588806123873304,0.2142676084838776,0.27504979381246925,0.20155618557184468,0.2706905291349099,0.20437359297238725,0.23882914164777333
34,0.307222164364793,0.31535566942233484,0.2791798265155231,0.3128979905267806,0.3001200574994689,0.30979374065980947,0.23990811479658739,0.2675581284060475
35,0.21187610386875863,0.2403465274299356,0.21811615232300985,0.21801550064487943,0.20793673152067169,0.21521911255454904,0.27344347106172145,0.37043106264085834
36,0.2955069263738752,0.3423356233763156,0.3479224483659978,0.3502935016268902,0.35805862055472515,0.319289288129351,0.4886516591063576,0.5435709829588067
37,0.3149104511946557,0.2916455714232087,0.26446065943966873,0.27644389857453866,0.2812958872939054,0.26121024239576207,0.35322778449175835,0.41676916420175
